name,image_url,rating_star,ratings,reviews,processor,ram,operating_system,rom,display,warranty,actual_price,discount_price,discount
Samsung Galaxy Book4 Metal Intel Core i5 13th Gen 1335U - (8 GB/512 GB SSD/Windows 11 Home) NP750XGJ-K...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/n/l/v/-original-imahcd9jggredwvf.jpeg?q=70,4.5,"9,456 Ratings",820 Reviews,Intel Core i5 Processor (13th Gen),8 GB LPDDR4X RAM,Windows 11 Operating System,512 GB SSD,39.62 cm (15.6 Inch) Display,1 Year Manufacturer Warranty for Laptop and 6 Months for In-Box Accessories,"₹78,189","₹48,990",37% off
Samsung Galaxy Book4 Metal Intel Core i3 13th Gen 1315U - (8 GB/512 GB SSD/Windows 11 Home) NP750XGJ-L...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/o/y/6/-original-imahcd9h9ethbxaz.jpeg?q=70,4.5,"4,960 Ratings",529 Reviews,Intel Core i3 Processor (13th Gen),8 GB LPDDR4X RAM,Windows 11 Operating System,512 GB SSD,39.62 cm (15.6 Inch) Display,1 Year Onsite Warranty,"₹57,499","₹34,990",39% off
Acer Aspire 3 Intel Celeron Dual Core - (8 GB/128 GB SSD/Windows 11 Home) A311-45 Thin and Light Lapto...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/p/z/p/-original-imahdhc7tygd5ntz.jpeg?q=70,3.9,"1,675 Ratings",180 Reviews,Intel Celeron Dual Core Processor,8 GB DDR4 RAM,64 bit Windows 11 Home Operating System,128 GB SSD,29.46 cm (11.6 inch) Display,1 Year Warranty,"₹32,990","₹14,870",54% off
Lenovo 100e Chromebook Gen 4 MediaTek MediaTek Kompanio 528 - (4 GB/64 GB EMMC Storage/Chrome OS) 82W0...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/5/f/c/-original-imahd3zwben2yanx.jpeg?q=70,3.8,234 Ratings,19 Reviews,MediaTek MediaTek Kompanio 528 Processor,4 GB LPDDR4X RAM,Chrome Operating System,29.46 cm (11.6 Inch) Display,29.46 cm (11.6 Inch) Display,1 Year Carry-in Warranty,"₹37,690","₹10,499",72% off
Acer Aspire 3 Intel Celeron Dual Core - (8 GB/512 GB SSD/Windows 11 Home) A311-45 Thin and Light Lapto...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/p/z/p/-original-imahdhc7tygd5ntz.jpeg?q=70,3.9,"1,675 Ratings",180 Reviews,Intel Celeron Dual Core Processor,8 GB DDR4 RAM,64 bit Windows 11 Home Operating System,512 GB SSD,29.46 cm (11.6 inch) Display,1 Year Warranty,"₹35,999","₹17,990",50% off
Acer Aspire 3 Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) A324-51 Thin and Light ...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/f/u/a/-original-imahcd9hd8sfkypj.jpeg?q=70,4.2,"3,614 Ratings",279 Reviews,Intel Core i3 Processor (12th Gen),8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,35.56 cm (14 Inch) Display,1 Year Domestic Warranty,"₹43,000","₹24,990",41% off
Acer Aspire 3 Intel Celeron Dual Core - (8 GB/256 GB SSD/Windows 11 Home) A311-45 Thin and Light Lapto...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/p/z/p/-original-imahdhc7tygd5ntz.jpeg?q=70,3.7,944 Ratings,102 Reviews,Intel Celeron Dual Core Processor,8 GB DDR4 RAM,64 bit Windows 11 Home Operating System,256 GB SSD,29.46 cm (11.6 inch) Display,1 Year Warranty,"₹33,399","₹15,990",52% off
Lenovo 100e Chromebook Gen 4 MediaTek Kompanio 520 - (4 GB/32 GB EMMC Storage/Chrome OS) 82W00004HA Ch...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/5/f/c/-original-imahd3zwben2yanx.jpeg?q=70,3.9,440 Ratings,39 Reviews,MediaTek Kompanio 520 Processor,4 GB LPDDR4X RAM,Chrome Operating System,29.46 cm (11.6 Inch) Display,29.46 cm (11.6 Inch) Display,1 Year Carry-in Warranty,"₹16,298","₹9,499",41% off
Acer Aspire 3 Intel Core i3 13th Gen 1305U - (16 GB/512 GB SSD/Windows 11 Home) A324-53 Thin and Light...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/f/f/x/-original-imahcd99qffuxkmz.jpeg?q=70,4.3,"2,000 Ratings",159 Reviews,Intel Core i3 Processor (13th Gen),16 GB DDR4 RAM,Windows 11 Operating System,512 GB SSD,35.56 cm (14 Inch) Display,1 Year Carry-in Warranty,"₹44,999","₹28,990",35% off
Acer Aspire 3 Backlit AMD Ryzen 7 Octa Core 7730U - (16 GB/512 GB SSD/Windows 11 Home) Aspire AS15 - 4...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/c/a/e/-original-imahcd8gaexzeczq.jpeg?q=70,4,719 Ratings,56 Reviews,AMD Ryzen 7 Octa Core Processor,16 GB DDR4 RAM,Windows 11 Operating System,512 GB SSD,39.62 cm (15.6 Inch) Display,1 Year Carry-in Warranty,"₹74,990","₹37,990",49% off
