,brand,name,image_url,rating_star,ratings,reviews,processor_brand,processor,generation,ram,ram_type,operating_system,rom,display,warranty,actual_price,discount_price,discount
0,Samsung,Samsung Galaxy Book4 Metal Intel Core i5 13th Gen 1335U - (8 GB/512 GB SSD/Windows 11 Home) NP750XGJ-K...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/n/l/v/-original-imahcd9jggredwvf.jpeg?q=70,4.5,9456,820,Intel,Intel Core i5 Processor (13th Gen),13,8,LPDDR4X,Windows 11 Operating System,512,39.62,1,78189,48990,37
1,Samsung,Samsung Galaxy Book4 Metal Intel Core i3 13th Gen 1315U - (8 GB/512 GB SSD/Windows 11 Home) NP750XGJ-L...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/o/y/6/-original-imahcd9h9ethbxaz.jpeg?q=70,4.5,4960,529,Intel,Intel Core i3 Processor (13th Gen),13,8,LPDDR4X,Windows 11 Operating System,512,39.62,1,57499,34990,39
2,Acer,Acer Aspire 3 Intel Celeron Dual Core - (8 GB/128 GB SSD/Windows 11 Home) A311-45 Thin and Light Lapto...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/p/z/p/-original-imahdhc7tygd5ntz.jpeg?q=70,3.9,1675,180,Intel,Intel Celeron Dual Core Processor,,8,DDR4,Windows 11 Home Operating System,128,29.46,1,32990,14870,54
3,Lenovo,Lenovo 100e Chromebook Gen 4 MediaTek MediaTek Kompanio 528 - (4 GB/64 GB EMMC Storage/Chrome OS) 82W0...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/5/f/c/-original-imahd3zwben2yanx.jpeg?q=70,3.8,234,19,MediaTek,MediaTek Kompanio 528 Processor,,4,LPDDR4X,Chrome Operating System,4,29.46,1,37690,10499,72
4,Acer,Acer Aspire 3 Intel Celeron Dual Core - (8 GB/512 GB SSD/Windows 11 Home) A311-45 Thin and Light Lapto...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/p/z/p/-original-imahdhc7tygd5ntz.jpeg?q=70,3.9,1675,180,Intel,Intel Celeron Dual Core Processor,,8,DDR4,Windows 11 Home Operating System,512,29.46,1,35999,17990,50
5,Acer,Acer Aspire 3 Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) A324-51 Thin and Light ...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/f/u/a/-original-imahcd9hd8sfkypj.jpeg?q=70,4.2,3614,279,Intel,Intel Core i3 Processor (12th Gen),12,8,DDR4,Windows 11 Operating System,512,35.56,1,43000,24990,41
6,Acer,Acer Aspire 3 Intel Celeron Dual Core - (8 GB/256 GB SSD/Windows 11 Home) A311-45 Thin and Light Lapto...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/p/z/p/-original-imahdhc7tygd5ntz.jpeg?q=70,3.7,944,102,Intel,Intel Celeron Dual Core Processor,,8,DDR4,Windows 11 Home Operating System,256,29.46,1,33399,15990,52
7,Lenovo,Lenovo 100e Chromebook Gen 4 MediaTek Kompanio 520 - (4 GB/32 GB EMMC Storage/Chrome OS) 82W00004HA Ch...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/5/f/c/-original-imahd3zwben2yanx.jpeg?q=70,3.9,440,39,MediaTek,MediaTek Kompanio 520 Processor,,4,LPDDR4X,Chrome Operating System,4,29.46,1,16298,9499,41
8,Acer,Acer Aspire 3 Intel Core i3 13th Gen 1305U - (16 GB/512 GB SSD/Windows 11 Home) A324-53 Thin and Light...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/f/f/x/-original-imahcd99qffuxkmz.jpeg?q=70,4.3,2000,159,Intel,Intel Core i3 Processor (13th Gen),13,16,DDR4,Windows 11 Operating System,512,35.56,1,44999,28990,35
9,Acer,Acer Aspire 3 Backlit AMD Ryzen 7 Octa Core 7730U - (16 GB/512 GB SSD/Windows 11 Home) Aspire AS15 - 4...,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/c/a/e/-original-imahcd8gaexzeczq.jpeg?q=70,4.0,719,56,AMD,AMD Ryzen 7 Octa Core Processor,,16,DDR4,Windows 11 Operating System,512,39.62,1,74990,37990,49
